Causas (lista reducida);Sexo;Provincia de residencia;Total
00A Covid-19 Virus identificado;Ambos sexos;León;655
00A Covid-19 Virus identificado;Ambos sexos;Lleida;438
00A Covid-19 Virus identificado;Ambos sexos;Lugo;254
00A Covid-19 Virus identificado;Ambos sexos;Madrid;3.840
00A Covid-19 Virus identificado;Ambos sexos;Málaga;820
00A Covid-19 Virus identificado;Ambos sexos;Murcia;902
00A Covid-19 Virus identificado;Ambos sexos;Navarra;537
00A Covid-19 Virus identificado;Ambos sexos;Ourense;279
00A Covid-19 Virus identificado;Ambos sexos;Palencia;210
00A Covid-19 Virus identificado;Ambos sexos;Palmas, Las;638
00A Covid-19 Virus identificado;Ambos sexos;Pontevedra;582
00A Covid-19 Virus identificado;Ambos sexos;Rioja, La;121
00A Covid-19 Virus identificado;Ambos sexos;Salamanca;373
00A Covid-19 Virus identificado;Ambos sexos;Santa Cruz de Tenerife;704
00A Covid-19 Virus identificado;Ambos sexos;Segovia;91
00A Covid-19 Virus identificado;Ambos sexos;Sevilla;941
00A Covid-19 Virus identificado;Ambos sexos;Soria;103
00A Covid-19 Virus identificado;Ambos sexos;Tarragona;560
00A Covid-19 Virus identificado;Ambos sexos;Teruel;129
00A Covid-19 Virus identificado;Ambos sexos;Toledo;466
00A Covid-19 Virus identificado;Ambos sexos;Valencia/Valncia;1.419
00A Covid-19 Virus identificado;Ambos sexos;Valladolid;476
00A Covid-19 Virus identificado;Ambos sexos;Zamora;278
00A Covid-19 Virus identificado;Ambos sexos;Zaragoza;976
00A Covid-19 Virus identificado;Ambos sexos;Ceuta;50
00A Covid-19 Virus identificado;Ambos sexos;Melilla;48
00A Covid-19 Virus identificado;Ambos sexos;Extranjero;136
00A Covid-19 Virus identificado;Hombres;Total;16.708
00A Covid-19 Virus identificado;Hombres;Albacete;160
00A Covid-19 Virus identificado;Hombres;Alicante/Alacant;509
00A Covid-19 Virus identificado;Hombres;Almería;233
00A Covid-19 Virus identificado;Hombres;Araba/Alava;113
00A Covid-19 Virus identificado;Hombres;Asturias;665
00A Covid-19 Virus identificado;Hombres;Avila;108
00A Covid-19 Virus identificado;Hombres;Badajoz;241
00A Covid-19 Virus identificado;Hombres;Balears, Illes;314
00A Covid-19 Virus identificado;Hombres;Barcelona;1.989
00A Covid-19 Virus identificado;Hombres;Bizkaia;495
00A Covid-19 Virus identificado;Hombres;Burgos;176
00A Covid-19 Virus identificado;Hombres;Cáceres;182
00A Covid-19 Virus identificado;Hombres;Cádiz;276
00A Covid-19 Virus identificado;Hombres;Cantabria;214
00A Covid-19 Virus identificado;Hombres;Castellón/Castelló;222
